entry_date,expiry,nominal_expiry,entry_spot,entry_dte,sigma_h,rv21,rv63,vix_entry,vix3m_entry,long_put,short_put,short_call,long_call,width,credit_mid,credit_net,credit_usd,max_loss_usd,contracts,equity_at_entry,exit_date,exit_dte,exit_spot,exit_debit_net,exit_reason,days_held,pnl_usd,mae_usd,mfe_usd,min_low,max_high,put_touch,call_touch,put_finish,call_finish,same_expiry_reentry
2022-05-03,2022-06-17,2022-06-17,4155.3798828125,45,0.11355332154545772,0.24306778175299756,0.2330862136410456,32.34000015258789,33.0099983215332,3155.0,3210.0,4865.0,4920.0,55.0,5.527792285494769,5.127792285494769,1538.3376856484306,14961.662314351568,3,529031.5699616089,2022-05-16,32,4023.889892578125,2.144327437176924,profit_target,9,865.0394544953533,0.0,895.0394544953533,3858.8701171875,4307.66015625,False,False,False,False,False
2022-05-16,2022-06-17,2022-06-17,4023.889892578125,32,0.09357844863392697,0.31604380668406584,0.25271792426065537,28.8700008392334,30.700000762939453,3220.0,3270.0,4590.0,4640.0,50.0,3.527111282566409,3.127111282566409,938.1333847699227,14061.866615230076,3,530067.787109477,2022-05-26,22,3978.72998046875,1.5314032377540765,profit_target,8,448.7124134436998,-116.9005799267347,478.7124134436998,3810.320068359375,4090.719970703125,False,False,False,False,True
2022-05-31,2022-07-15,2022-07-15,4158.240234375,45,0.11902263336858608,0.3389766084262516,0.26672429956012605,25.719999313354492,28.020000457763672,3115.0,3170.0,4900.0,4955.0,55.0,2.3603014721678193,1.9603014721678194,588.0904416503458,15911.909558349653,3,530748.3583714557,2022-06-24,21,3795.72998046875,1.6218700975044213,dte_exit,17,71.52941239901939,-833.2872663617121,180.90311544215965,3636.8701171875,4177.509765625,False,False,False,False,False
2022-07-05,2022-08-19,2022-08-19,3825.330078125,45,0.10519316637544009,0.2995902691645234,0.283733810782436,26.700000762939453,28.520000457763672,2970.0,3020.0,4430.0,4480.0,50.0,3.6901698344435374,3.2901698344435375,987.0509503330612,14012.949049666939,3,531576.3746242024,2022-07-18,32,3863.159912109375,1.5857196541899454,profit_target,9,481.33505407607765,-314.5491626866966,511.33505407607765,3721.56005859375,3918.5,False,False,False,False,False
2022-07-18,2022-08-19,2022-08-19,3863.159912109375,32,0.08444900898950436,0.23263590560016634,0.28521082216427673,24.229999542236328,27.079999923706055,3160.0,3210.0,4355.0,4405.0,50.0,2.6663779102052985,2.2663779102052986,679.9133730615895,14320.08662693841,3,532451.7882693721,2022-07-29,21,4072.429931640625,3.4950442499546592,dte_exit,9,-398.5999019248082,-467.6358028448903,124.65593945269678,3818.6298828125,4078.949951171875,False,False,False,False,True
2022-08-02,2022-09-16,2022-09-16,4118.6298828125,45,0.09571922769133334,0.18806045444486771,0.2726084799645512,22.84000015258789,24.86000061035156,3275.0,3330.0,4710.0,4765.0,55.0,3.3233188810608,2.9233188810608,876.99566431824,15623.004335681759,3,532588.3673321808,2022-08-19,28,4283.740234375,1.3749098446578194,profit_target,13,434.52271092089416,-264.1987769743701,464.52271092089416,4079.81005859375,4325.27978515625,False,False,False,False,False
2022-09-06,2022-10-21,2022-10-21,3924.260009765625,45,0.08943113816159003,0.19642708077196988,0.23207584090128172,25.469999313354492,26.479999542236328,3170.0,3220.0,4450.0,4500.0,50.0,5.063395451067606,4.663395451067606,1865.3581804270423,18134.641819572957,4,534401.8977824459,2022-09-30,21,3640.469970703125,4.052407587054691,dte_exit,18,204.39514560516608,-1300.6986958080133,769.9863510509276,3610.39990234375,4119.27978515625,False,False,False,False,False
2022-10-04,2022-11-18,2022-11-18,3678.429931640625,45,0.10568815725753554,0.2608787741969365,0.22142570834178113,30.100000381469727,30.690000534057617,2850.0,2900.0,4260.0,4310.0,50.0,5.060950402448924,4.660950402448924,1864.3801609795694,18135.61983902043,4,535921.2762035382,2022-10-21,28,3665.780029296875,2.201243713440307,profit_target,13,943.8826756034466,-921.3301929705792,983.8826756034466,3491.580078125,3806.909912109375,False,False,False,False,False
2022-11-01,2022-12-16,2022-12-16,3871.97998046875,45,0.0977228594825078,0.2783148258072285,0.24475699824210034,25.8799991607666,26.920000076293945,3065.0,3115.0,4440.0,4490.0,50.0,4.089225836116,3.6892258361160004,1475.6903344464001,18524.3096655536,4,538415.6128078863,2022-11-18,28,3946.56005859375,1.6768909934783394,profit_target,13,764.9339370550645,-149.32046736523841,804.9339370550645,3698.14990234375,4028.840087890625,False,False,False,False,False
2022-12-06,2023-01-20,2023-01-20,3998.840087890625,45,0.09447171230502965,0.2628548146662758,0.2690555545869112,20.75,23.88999938964844,3195.0,3245.0,4565.0,4615.0,50.0,2.5283611082902553,2.1283611082902554,638.5083324870766,14361.491667512924,3,541373.2706903054,2022-12-27,24,3844.820068359375,0.9048631633709425,profit_target,14,337.0493834757939,-319.8650318774761,367.0493834757939,3764.489990234375,4100.9599609375,False,False,False,False,False
2023-01-03,2023-02-17,2023-02-17,3839.5,45,0.08742149705618973,0.17908878915622742,0.2489765327564502,21.670000076293945,24.290000915527344,3120.0,3170.0,4345.0,4395.0,50.0,3.645747171503672,3.245747171503672,1298.2988686014687,18701.70113139853,4,543515.5910607253,2023-01-20,28,3898.85009765625,1.3128493207592604,profit_target,12,733.1591402977646,-416.5461594694092,773.1591402977646,3794.330078125,4015.389892578125,False,False,False,False,False
2023-01-31,2023-03-17,2023-03-17,4017.77001953125,45,0.07609298534628718,0.16610504938950327,0.2167129172636899,19.940000534057617,21.3700008392334,3355.0,3405.0,4475.0,4525.0,50.0,4.027964146849712,3.627964146849712,1451.1856587398847,18548.814341260113,4,546178.2905034939,2023-02-21,24,4079.090087890625,1.4124931878982792,profit_target,14,846.1883835805731,-1743.496087587711,886.1883835805731,4020.43994140625,4195.43994140625,False,False,False,False,False
2023-03-07,2023-04-21,2023-04-21,4048.419921875,45,0.0653440746226871,0.1469906107632394,0.16953497044349386,18.61000061035156,19.989999771118164,3465.0,3520.0,4445.0,4500.0,55.0,5.575859036856713,5.175859036856712,1552.7577110570137,14947.242288942984,3,549525.7267417914,2023-03-28,24,3977.530029296875,2.038275049679131,profit_target,15,911.2751961532742,-1033.6120881104382,941.2751961532742,3808.860107421875,4050.0,False,False,False,False,False
2023-04-04,2023-05-19,2023-05-19,4124.509765625,45,0.0651333957357874,0.17908353545274594,0.1666494782396608,18.549999237060547,20.829999923706055,3530.0,3585.0,4525.0,4580.0,55.0,6.058137625222827,5.658137625222826,1697.4412875668481,14802.558712433152,3,552462.3137674058,2023-04-17,32,4137.64013671875,2.5350499740473125,profit_target,8,906.9262953526542,-136.12768800069227,936.9262953526542,4069.840087890625,4163.18994140625,False,False,False,False,False
2023-04-17,2023-05-19,2023-05-19,4137.64013671875,32,0.0505431226886875,0.13812286871624332,0.1587033595665024,17.06999969482422,20.030000686645508,3665.0,3720.0,4450.0,4505.0,55.0,4.996131746736339,4.596131746736338,1378.8395240209015,15121.160475979099,3,554341.3169809295,2023-04-25,24,4137.0400390625,2.109661960893147,profit_target,6,715.9409357529574,-196.16823959263564,745.9409357529574,4113.85986328125,4169.47998046875,False,False,False,False,True
2023-05-02,2023-06-16,2023-06-16,4167.8701171875,45,0.056460649139527454,0.1224544295456089,0.15415397867442915,16.079999923706055,19.670000076293945,3640.0,3695.0,4520.0,4575.0,55.0,6.786746724211412,6.386746724211411,2554.6986896845647,19445.301310315434,4,556223.4127940834,2023-05-18,29,4158.77001953125,2.6951103691267746,profit_target,12,1436.6545420338548,-568.6078359533965,1476.6545420338548,4048.280029296875,4164.669921875,False,False,False,False,False
2023-06-06,2023-07-21,2023-07-21,4273.7900390625,45,0.051720481338654534,0.1284322551870467,0.14532916842368976,14.729999542236328,17.899999618530273,3775.0,3830.0,4605.0,4660.0,55.0,6.6256406001624555,6.225640600162455,2490.256240064982,19509.743759935016,4,560478.1283368599,2023-06-26,25,4348.330078125,1.5042417340796432,profit_target,13,1848.5595464331245,-1959.7862030650176,1888.5595464331245,4261.06982421875,4448.47021484375,False,False,False,False,False
2023-07-05,2023-08-18,2023-08-18,4455.58984375,44,0.04711505949973287,0.10470508424151964,0.11733411532955149,13.56999969482422,16.06999969482422,3975.0,4035.0,4770.0,4830.0,60.0,6.659826858350527,6.259826858350527,1877.9480575051582,16122.051942494843,3,564678.7167706038,2023-07-24,25,4536.33984375,2.9829680961607976,profit_target,13,953.057628656919,-326.4649427473497,983.057628656919,4385.0498046875,4578.43017578125,False,False,False,False,False
2023-08-01,2023-09-15,2023-09-15,4588.9599609375,45,0.04785812549032668,0.08671530866429919,0.10774696528942014,13.630000114440918,16.010000228881836,4090.0,4150.0,4920.0,4980.0,60.0,6.643753824572258,6.2437538245722575,1873.1261473716772,16126.873852628323,3,567881.9691303697,2023-08-24,22,4436.009765625,3.0663499585203438,profit_target,17,923.2211598155741,-373.7540880302685,953.2211598155741,4335.31005859375,4584.6201171875,False,False,False,False,False
2023-09-05,2023-10-20,2023-10-20,4515.77001953125,45,0.04596205903969233,0.11950904929886852,0.10343927207404643,13.09000015258789,15.739999771118164,4040.0,4100.0,4825.0,4885.0,60.0,6.9825741659058735,6.582574165905873,1974.772249771762,16025.227750228238,3,571764.528958465,2023-09-19,31,4453.52978515625,3.2591447119691153,profit_target,10,967.0288361810274,-244.29070707117796,997.0288361810274,4430.4599609375,4514.2900390625,False,False,False,False,False
2023-09-19,2023-10-20,2023-10-20,4453.52978515625,31,0.040800214879906885,0.11406070737672469,0.10468555261774118,14.0,16.1299991607666,4030.0,4090.0,4725.0,4785.0,60.0,4.986223506177936,4.5862235061779355,1375.8670518533806,16624.132948146616,3,573925.5621851113,2023-09-29,21,4299.7001953125,5.747573060724287,dte_exit,8,-378.40486636390546,-1136.8465222498194,0.0,4238.6298828125,4461.02978515625,False,False,False,False,True
2023-10-03,2023-11-17,2023-11-17,4288.39013671875,45,0.061832840206803186,0.10734041628779523,0.10823872144429245,17.610000610351562,18.6200008392334,3705.0,3760.0,4685.0,4740.0,55.0,5.500550215869623,5.100550215869623,2040.220086347849,19959.77991365215,4,574747.1106491034,2023-10-24,24,4217.0400390625,2.5292614337435615,profit_target,15,988.5155128504246,-507.40206241691936,1028.5155128504246,4189.22021484375,4393.56982421875,False,False,False,False,False
2023-10-31,2023-12-15,2023-12-15,4166.81982421875,45,0.06934687971370737,0.1421610963698263,0.12538049838129595,19.75,20.799999237060547,3535.0,3590.0,4600.0,4655.0,55.0,5.526079378584768,5.126079378584768,2050.4317514339073,19949.56824856609,4,578149.792012673,2023-11-24,21,4556.6201171875,17.934988871285302,dte_exit,17,-5163.563797080214,-5474.659784570171,12.401477223629342,4153.1201171875,4568.43017578125,False,False,False,False,False
2023-12-05,2024-01-19,2024-01-19,4569.77978515625,45,0.045926945891875716,0.09878016916663439,0.12875249145317813,13.079999923706056,15.68000030517578,4090.0,4150.0,4885.0,4945.0,60.0,6.856983369407089,6.456983369407089,1937.0950108221268,16062.904989177874,3,575975.0677745936,2023-12-29,21,4783.35009765625,9.607910690239013,dte_exit,17,-975.2781962495771,-2412.2163712233114,212.3583030260054,4546.5,4793.2998046875,False,False,False,False,False
2024-01-02,2024-02-16,2024-02-16,4769.830078125,45,0.04371486780803995,0.09420748550215868,0.1213420795149297,12.449999809265137,15.260000228881836,4295.0,4355.0,5085.0,5145.0,60.0,7.050338944610161,6.65033894461016,1995.101683383048,16004.89831661695,3,577374.4376879192,2024-01-24,23,4864.60009765625,2.768685529076785,profit_target,15,1134.4960246600126,-99.6936899333658,1164.4960246600126,4682.10986328125,4868.41015625,False,False,False,False,False
2024-01-30,2024-03-15,2024-03-15,4927.93017578125,45,0.04775278939545091,0.0925293960592655,0.10188991658601831,13.600000381469728,15.220000267028809,4390.0,4455.0,5280.0,5345.0,65.0,6.67263845781207,6.27263845781207,1881.791537343621,17618.208462656377,3,580883.1679893782,2024-02-22,22,4981.7998046875,3.057592900651082,profit_target,16,934.5136671482965,-141.75659852120043,964.5136671482965,4845.14990234375,5048.39013671875,False,False,False,False,False
2024-03-05,2024-04-19,2024-04-19,5130.9501953125,45,0.04736655146661626,0.1155066503599368,0.10797169826433443,13.489999771118164,15.229999542236328,4580.0,4645.0,5495.0,5560.0,65.0,6.83545491246187,6.43545491246187,1930.636473738561,17569.363526261437,3,584809.7011506321,2024-03-26,24,5218.18994140625,2.421507975485278,profit_target,15,1174.1840810929775,-607.1384948679163,1204.1840810929775,5056.81982421875,5261.10009765625,False,False,False,False,False
2024-04-02,2024-05-17,2024-05-17,5243.77001953125,45,0.04792834843738583,0.09681743051150828,0.10817131176906652,13.649999618530272,15.520000457763672,4670.0,4740.0,5620.0,5690.0,70.0,7.377637542015975,6.977637542015975,2093.291262604793,18906.70873739521,3,588394.7838235084,2024-04-26,21,5048.419921875,3.606505066455095,dte_exit,18,981.3397426682639,-684.0642849351755,1011.3397426682639,4953.56005859375,5256.58984375,False,False,False,False,False
2024-05-07,2024-06-21,2024-06-21,5180.740234375,45,0.04963930258373507,0.14137279573012754,0.12148192447583642,13.489999771118164,15.020000457763672,4600.0,4665.0,5565.0,5630.0,65.0,5.839334177436996,5.439334177436995,1631.8002532310988,17868.1997467689,3,592412.1980156981,2024-05-28,24,5304.72021484375,1.8829888783369042,profit_target,14,1036.9035897300273,-603.5616515291149,1066.9035897300273,5165.85986328125,5341.8798828125,False,False,False,False,False
2024-06-04,2024-07-19,2024-07-19,5283.39990234375,45,0.04603228198675148,0.09012098879090583,0.11206729953732048,13.109999656677246,14.800000190734863,4725.0,4795.0,5650.0,5720.0,70.0,7.124506264978919,6.724506264978919,2017.3518794936758,18982.648120506325,3,595897.0665126973,2024-06-28,21,5482.8701171875,5.984049554981635,dte_exit,17,192.1370129991852,-1921.3288549475803,222.1370129991852,5257.6298828125,5505.52978515625,False,False,False,False,False
2024-07-02,2024-08-16,2024-08-16,5475.08984375,45,0.042907285499702214,0.06437300622935045,0.1050553808579608,12.220000267028809,14.1899995803833,4935.0,5005.0,5825.0,5895.0,70.0,7.628362709280452,7.228362709280452,2168.5088127841354,18831.491187215863,3,598548.0973991167,2024-07-26,21,5399.22021484375,5.577998717524432,dte_exit,17,465.10919752680604,-2646.2136292324467,517.7711485265579,5390.9501953125,5669.669921875,False,False,False,False,False
2024-08-09,2024-09-20,2024-09-20,5319.31005859375,42,0.08069983963853847,0.21118373997329862,0.13837674360829952,23.790000915527344,24.1299991607666,4390.0,4460.0,5965.0,6035.0,70.0,6.702743672582727,6.302743672582727,1890.823101774818,19109.17689822518,3,602327.3375381064,2024-08-15,36,5455.2099609375,2.525552102566189,profit_target,4,1103.1574710049613,0.0,1133.1574710049613,5300.83984375,5463.22021484375,False,False,False,False,False
