month,month_end,equity,cash,open_mark,cash_pnl,realised_premium_pnl,filter_active_days,trading_days,total_pnl,premium_pnl,total_return
2012-05,2012-05-31,459577.561100744,459577.561100744,0.0,37.04792653254727,-61.70864290324143,0,22,-24.660716370737646,-61.70864290328492,-5.365665177430464e-05
2012-06,2012-06-29,459722.2044744863,459722.2044744863,0.0,33.20982404564758,111.43354969653004,0,21,144.64337374229217,111.43354969664459,0.000314731148744194
2012-07,2012-07-31,459888.8570213968,459888.8570213968,0.0,38.84382577013858,127.80872114048398,0,21,166.65254691051086,127.80872114037228,0.0003625070646761848
2012-08,2012-08-31,460097.20520950976,460097.20520950976,0.0,40.778340625624914,167.56984748743236,0,23,208.34818811295554,167.56984748733063,0.0004530403051345554
2012-09,2012-09-28,460336.9941908553,460336.9941908553,0.0,37.605753278114214,202.18322806744874,0,19,239.78898134554038,202.18322806742617,0.0005211702627846873
2012-10,2012-10-31,460466.7303065132,460466.7303065132,0.0,42.865599678675046,86.87051597906657,0,21,129.73611565789906,86.87051597922402,0.00028182856753874227
2012-11,2012-11-30,460644.5975783327,460644.5975783327,0.0,36.34703968393182,141.52023213560912,0,21,177.86727181950118,141.52023213556936,0.0003862760545177769
2012-12,2012-12-31,460719.7791279321,460719.7791279321,0.0,30.087525200143038,45.094024399366816,1,20,75.1815495993942,45.09402439925117,0.00016320944605588165
2013-01,2013-01-31,460680.47997409623,461172.522855245,-492.04288114873293,27.405124444250024,126.28795604296064,0,21,-39.299153835861944,-66.70427828011196,-8.529947186172227e-05
2013-02,2013-02-28,461052.102424467,461052.102424467,0.0,34.204498944153784,144.42571710345885,1,19,371.622450370749,337.4179514265952,0.0008066815646099116
2013-03,2013-03-28,461188.79110040434,461360.21041322895,-171.41931282463887,32.806364863452586,0.0,0,20,136.68867593735922,103.88231107390664,0.00029647121272969923
2013-04,2013-04-30,461410.5985680594,461410.5985680594,0.0,27.30743237093412,298.38234635797096,2,22,221.8074676550459,194.5000352841118,0.00048094722147476633
2013-05,2013-05-31,461386.2458894787,461386.2458894787,0.0,17.693577045920208,-42.04625562664637,0,22,-24.352678580675274,-42.04625562659548,-5.27787585639587e-05
2013-06,2013-06-28,461529.99310489366,461529.99310489366,0.0,17.569603157684725,126.17761225722455,1,20,143.74721541494364,126.17761225725891,0.00031155505110002155
2013-07,2013-07-31,461587.46666352556,461587.46666352556,0.0,15.7765406312612,41.69701800051017,0,22,57.47355863190023,41.697018000639034,0.00012452832858218598
2013-08,2013-08-30,461417.6690571648,461417.6690571648,0.0,17.063412312927003,-186.8610186737353,0,22,-169.79760636074934,-186.86101867367634,-0.0003678557556774465
2013-09,2013-09-30,461490.6718439314,461490.6718439314,0.0,6.027387001442101,66.97539976529755,0,20,73.00278676662128,66.97539976517919,0.00015821411199053368
2013-10,2013-10-31,461554.9957079451,461554.9957079451,0.0,17.957057677150747,46.366806336483705,4,23,64.32386401365511,46.36680633650437,0.0001393828043298097
2013-11,2013-11-29,461735.0504585683,461735.0504585683,0.0,23.738439545804326,156.31631107752224,0,20,180.05475062323967,156.31631107743533,0.0003901046512281099
2013-12,2013-12-31,461942.33109384467,461942.33109384467,0.0,27.21016520059476,180.0704700756538,0,21,207.28063527634367,180.07047007574891,0.0004489168302698369
2014-01,2014-01-31,462012.85707492667,462012.85707492667,0.0,19.260163659481428,51.26581742254237,3,21,70.5259810819989,51.26581742251748,0.00015267269599432182
2014-02,2014-02-28,462021.4405302921,462021.4405302921,0.0,16.951924974556984,-8.368469609127054,4,19,8.583455365442205,-8.36846960911478,1.8578390696279234e-05
2014-03,2014-03-31,462235.32704339304,462235.32704339304,0.0,20.294210668176508,193.59230243270542,0,21,213.886513100937,193.5923024327605,0.0004629363365809291
2014-04,2014-04-30,462429.9791744652,462429.9791744652,0.0,12.20675956898822,182.445371503051,1,21,194.65213107212912,182.4453715031409,0.0004211104597244595
2014-05,2014-05-30,462633.93054014,462633.93054014,0.0,11.825035406134672,192.1263302687546,0,21,203.95136567484587,192.1263302687112,0.0004410426980511557
2014-06,2014-06-30,462865.45841696946,462865.45841696946,0.0,14.405044787920616,217.12283204157404,0,21,231.52787682943745,217.12283204151683,0.0005004558929759458
2014-07,2014-07-31,463081.0241712372,463081.0241712372,0.0,10.035987995327224,205.52976627254094,0,22,215.56575426773634,205.52976627240912,0.00046572011444748006
2014-08,2014-08-29,463300.4784285831,463300.4784285831,0.0,12.099284364888327,207.35497298107106,2,21,219.454257345933,207.35497298104468,0.0004739003454928519
2014-09,2014-09-30,463556.67774673476,463556.67774673476,0.0,8.886679203116204,247.31263894855772,0,21,256.19931815163,247.31263894851378,0.0005529873809338676
2014-10,2014-10-31,463735.6121626717,463735.6121626717,0.0,6.699985218426483,172.23443071869005,7,23,178.9344159369357,172.2344307185092,0.00038600331852990135
2014-11,2014-11-28,463821.9258698578,463821.9258698578,0.0,7.345276248906367,78.96843093728582,0,19,86.31370718608378,78.9684309371774,0.00018612697606628102
2014-12,2014-12-31,464091.8043934061,464091.8043934061,0.0,11.347946649868216,258.5305768984708,2,22,269.8785235483083,258.5305768984401,0.000581858054774307
2015-01,2015-01-30,464290.74559918063,464290.74559918063,0.0,11.480311773056675,187.46089400156845,2,20,198.94120577455033,187.46089400149364,0.0004286677848891936
2015-02,2015-02-27,464482.76534787973,464482.76534787973,0.0,6.968888075421755,185.0508606236649,0,19,192.01974869909463,185.0508606236729,0.00041357651540369945
2015-03,2015-03-31,464626.2420082552,465248.86297357274,-622.6209653175391,11.234303839972911,302.24235653546157,0,22,143.47666037548333,132.24235653551042,0.00030889555238508115
2015-04,2015-04-30,465042.80876550765,465042.80876550765,0.0,10.20805503547793,236.358702216942,0,21,416.56675725243986,406.35870221696194,0.0008965631287890935
