EXPIRE_DATE,rows,first_quote,last_quote,file
2011-12-30,520,2011-04-01,2011-04-29,spx_eod_201104.txt
2012-03-15,729,2011-04-01,2011-04-29,spx_eod_201104.txt
2012-03-30,280,2011-04-01,2011-04-29,spx_eod_201104.txt
2012-06-14,1060,2011-04-01,2011-04-29,spx_eod_201104.txt
2012-12-20,1040,2011-04-01,2011-04-29,spx_eod_201104.txt
2013-12-19,1020,2011-04-01,2011-04-29,spx_eod_201104.txt
2011-05-06,209,2011-05-02,2011-05-06,spx_eod_201105.txt
2011-05-13,273,2011-05-05,2011-05-13,spx_eod_201105.txt
2011-05-19,1988,2011-05-02,2011-05-19,spx_eod_201105.txt
2011-05-27,292,2011-05-19,2011-05-27,spx_eod_201105.txt
2011-06-03,120,2011-05-26,2011-05-31,spx_eod_201105.txt
2011-06-16,3521,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-06-30,719,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-07-14,3038,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-08-18,1824,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-09-15,1864,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-09-30,735,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-12-15,1612,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-12-30,552,2011-05-02,2011-05-31,spx_eod_201105.txt
2012-03-15,808,2011-05-02,2011-05-31,spx_eod_201105.txt
2012-03-30,294,2011-05-02,2011-05-31,spx_eod_201105.txt
2012-06-14,1113,2011-05-02,2011-05-31,spx_eod_201105.txt
2012-12-20,1112,2011-05-02,2011-05-31,spx_eod_201105.txt
2013-12-19,1071,2011-05-02,2011-05-31,spx_eod_201105.txt
2011-06-03,120,2011-06-01,2011-06-03,spx_eod_201106.txt
2011-06-10,315,2011-06-02,2011-06-10,spx_eod_201106.txt
2011-06-16,2016,2011-06-01,2011-06-16,spx_eod_201106.txt
2011-06-24,312,2011-06-16,2011-06-24,spx_eod_201106.txt
2011-06-30,1302,2011-06-01,2011-06-30,spx_eod_201106.txt
2011-07-01,262,2011-06-23,2011-06-30,spx_eod_201106.txt
2011-07-08,42,2011-06-30,2011-06-30,spx_eod_201106.txt
2011-07-14,3458,2011-06-01,2011-06-30,spx_eod_201106.txt
2011-08-18,2973,2011-06-01,2011-06-30,spx_eod_201106.txt
2011-09-15,2393,2011-06-01,2011-06-30,spx_eod_201106.txt
2011-09-30,770,2011-06-01,2011-06-30,spx_eod_201106.txt
2011-10-20,432,2011-06-20,2011-06-30,spx_eod_201106.txt
2011-12-15,1731,2011-06-01,2011-06-30,spx_eod_201106.txt
2011-12-30,649,2011-06-01,2011-06-30,spx_eod_201106.txt
2012-03-15,881,2011-06-01,2011-06-30,spx_eod_201106.txt
2012-03-30,308,2011-06-01,2011-06-30,spx_eod_201106.txt
2012-06-14,1166,2011-06-01,2011-06-30,spx_eod_201106.txt
2012-12-20,1181,2011-06-01,2011-06-30,spx_eod_201106.txt
2013-06-20,292,2011-06-20,2011-06-30,spx_eod_201106.txt
2013-12-19,1122,2011-06-01,2011-06-30,spx_eod_201106.txt
2011-07-01,44,2011-07-01,2011-07-01,spx_eod_201107.txt
2011-07-08,231,2011-07-01,2011-07-08,spx_eod_201107.txt
2011-07-14,1431,2011-07-01,2011-07-14,spx_eod_201107.txt
2011-07-22,297,2011-07-14,2011-07-22,spx_eod_201107.txt
